Node,Cluster,NodeType
Clients,main,Influencer
Applications,IT,Stock
Infrastructures,IT,Stock
Matériaux,IT,Stock
Energie,IT,Stock
Business as usual,OldBiz,Stock
Algorithmes addictifs,OldBiz,Stock
Business within planetary limits,NewBiz,Stock
Usage,divers,Influencer
Efficacité,IT,Influencer
Coût,divers,Influencer
Sobriété,NewBiz,Influencer
Déchets,IT,Stock
